timestamp(America/Denver),score,temp,humid,co2,voc,pm25
2024-03-01 11:05:00,85.0,20.6,24.3,438.0,505.5,0.5
2024-03-01 11:10:00,84.0,21.2,23.6,458.3,418.9,0.4
2024-03-04 07:55:00,70.8,21.4,16.5,661.5,71.2,1.2
2024-03-04 08:00:00,72.8,21.5,16.0,517.0,54.5,1.2
2024-03-04 08:05:00,73.2,21.7,16.1,494.6,49.8,1.0
2024-03-04 08:10:00,73.4,21.7,16.2,487.8,49.4,1.2
2024-03-04 08:15:00,72.2,21.8,15.5,461.2,42.0,0.8
2024-03-04 08:20:00,74.6,21.9,16.8,442.4,49.4,1.0
2024-03-04 08:25:00,72.0,21.9,15.4,442.7,52.3,1.0
2024-03-04 08:30:00,72.8,21.9,15.8,455.6,47.8,1.2
2024-03-04 08:35:00,72.4,21.9,15.6,440.4,47.0,1.0
2024-03-04 08:40:00,74.8,21.9,17.0,464.0,53.2,1.0
2024-03-04 08:45:00,73.0,22.0,15.9,452.8,46.0,1.0
2024-03-04 08:50:00,73.2,21.9,16.0,439.6,40.0,1.2
2024-03-04 08:55:00,72.0,21.9,15.3,447.0,45.0,1.0
2024-03-06 08:00:00,63.7,21.9,14.0,661.3,426.7,1.0
2024-03-06 08:05:00,67.0,22.0,13.9,589.4,98.6,1.0
2024-03-06 08:10:00,67.8,22.0,13.5,543.2,47.8,1.2
2024-03-06 08:15:00,68.6,22.1,13.4,517.6,31.8,1.2
2024-03-06 08:20:00,68.2,22.1,13.5,527.2,29.6,1.4
2024-03-06 08:25:00,68.4,22.0,13.5,520.2,26.2,1.2
2024-03-06 08:30:00,69.0,22.1,13.3,488.8,21.2,1.0
2024-03-06 08:35:00,69.0,22.3,13.5,471.0,20.6,1.0
2024-03-06 08:40:00,69.0,22.4,13.2,478.0,20.0,1.0
2024-03-06 08:45:00,69.2,22.4,13.3,470.4,20.0,1.2
2024-03-08 08:20:00,62.8,22.3,13.5,672.0,508.8,2.0
2024-03-08 08:25:00,67.6,22.4,12.8,535.6,117.4,1.8
2024-03-08 08:30:00,68.0,22.4,12.9,535.2,72.5,1.8
2024-03-08 08:35:00,68.0,22.5,12.4,512.0,45.6,2.2
2024-03-08 08:40:00,69.3,22.4,13.7,484.7,31.0,2.3
2024-03-08 08:45:00,68.6,22.4,13.8,542.6,27.2,2.2
2024-03-08 08:50:00,69.2,22.4,14.0,521.0,21.8,2.0
2024-03-08 08:55:00,68.0,22.4,13.6,553.0,24.0,1.0
2024-03-11 12:35:00,89.8,21.0,26.5,454.4,87.8,1.0
2024-03-11 12:40:00,89.6,21.3,26.4,444.2,80.8,1.4
2024-03-11 12:45:00,84.0,22.9,24.7,662.3,97.7,0.3
2024-03-12 08:25:00,90.2,20.6,28.7,552.0,112.0,1.0
2024-03-12 08:30:00,91.4,20.6,29.1,528.2,102.2,1.2
2024-03-12 08:35:00,90.4,20.6,29.0,552.8,85.8,1.2
2024-03-12 08:40:00,91.0,20.8,28.5,523.3,75.0,1.0
2024-03-12 08:55:00,91.0,20.7,27.9,400.3,99.0,1.0
2024-03-12 09:00:00,91.0,20.8,27.8,400.6,93.2,1.0
2024-03-12 09:05:00,91.0,20.8,27.8,400.0,85.8,1.0
2024-03-12 09:10:00,91.0,20.8,27.8,400.0,81.0,1.0
2024-03-12 09:15:00,91.0,20.8,27.8,400.0,70.2,1.0
2024-03-12 09:20:00,91.0,20.9,28.1,400.0,74.0,1.0
2024-03-20 08:05:00,87.0,19.9,24.4,431.0,20.0,3.0
2024-03-20 08:10:00,86.0,19.6,24.6,421.7,20.0,3.2
2024-03-20 08:15:00,86.0,19.5,24.6,411.4,20.0,2.6
2024-03-20 08:20:00,86.0,19.6,24.6,405.0,20.0,2.6
2024-03-20 08:25:00,86.0,19.6,24.6,405.8,20.0,3.0
2024-03-20 08:30:00,86.0,19.6,24.5,401.6,20.0,2.4
2024-03-20 08:35:00,86.0,19.6,24.5,400.0,20.0,2.8
2024-03-20 08:40:00,86.0,19.6,24.5,400.0,20.0,2.8
2024-03-20 08:45:00,86.0,19.9,24.2,400.0,20.0,2.8
2024-03-20 08:50:00,86.0,20.2,23.7,400.0,20.0,2.6
